Q1,Q1a,Q2,Q2a,Q3,Q3a,Q4,Q4a,Q5,Q5a,Q6,Q6a,Q7,Q7a,Q8,Q8a,LOA,Q25,Q26,Q27,W1,W2,W3,W4,CR_1,Congruence_1,Dissonance_1,Koczkodaj_1
2,8,2,9,2,9,2,8,2,9,2,9,3,3,2,5,3.25,Male,25,Nigeria,3,8,22,68,0.447603981,2.079441542,0,0.888888889
2,8,1,8,2,8,1,8,2,8,2,8,2,4,3,4,3.25,Female,22,Nigeria,8,23,3,66,0.446704654,2.079441542,0,0.875
3,5,1,8,3,5,1,5,2,6,2,7,3,1,1,-2,0.75,Male,24,Nigeria,31,18,5,47,0.138303854,0.962645431,0,0.833333333
3,8,3,8,3,8,3,8,3,8,3,8,5,5,5,5,5,Female,25,India,25,25,25,25,0,0,0,0
1,8,1,7,2,8,1,8,2,7,2,8,4,4,4,4,4,Male,28,United States,23,9,3,65,0.44901566,2.079441542,0.333333333,0.890625
1,6,3,7,2,9,1,6,2,7,2,6,-2,-3,3,5,0.75,Male,26,Nigeria,14,10,6,70,0.584146919,1.994492023,0.333333333,0.972222222
3,7,2,6,2,9,3,8,3,7,2,9,2,2,2,4,2.5,Male,23,Nigeria,7,19,17,57,0.413297128,1.994492023,0,0.888888889
1,8,1,8,2,8,1,7,2,7,2,8,4,2,1,3,2.5,Male,20,Nigeria,24,8,3,65,0.419002255,2.012675845,0.166666667,0.890625
3,6,2,3,2,8,2,3,2,8,2,7,-2,3,3,5,2.25,Male,37,United Kingdom,7,7,16,70,0.044824667,0.482540448,0,0.619047619
3,6,2,5,3,7,1,8,2,8,2,8,3,4,1,4,3,Male,27,Nigeria,13,20,11,56,1.028520641,2.884160498,0.333333333,0.975
2,8,1,7,3,9,3,9,2,8,3,9,4,4,5,3,4,Female,24,Ecuador,23,23,14,39,1.232826999,3.052396616,0.333333333,0.984375
1,5,1,5,2,7,1,5,2,7,2,7,-5,-5,-5,-5,-5,Female,25,United Kingdom,21,9,4,66,0.258231887,1.609437912,0,0.8
3,6,1,5,2,8,1,5,3,7,2,7,4,4,1,5,3.5,Female,30,Nigeria,16,28,5,51,0.189019007,1.039720771,0.083333333,0.875
1,7,1,6,3,8,1,7,3,7,2,7,3,3,5,5,4,Male,30,Nigeria,47,18,4,30,0.208880255,1.050030414,0.166666667,0.87755102
3,7,1,8,2,9,1,8,2,9,2,9,5,4,4,4,4.25,Male,33,Nigeria,13,13,3,71,0.220400459,1.039720771,0,0.875
2,9,2,7,2,8,1,8,2,8,2,7,3,3,3,3,3,Male,34,Nigeria,3,24,8,64,0.420895806,2.012675845,0.25,0.890625
3,7,3,6,2,9,1,6,2,9,2,9,-2,-4,0,5,-0.25,Female,23,Nigeria,8,13,5,74,0.16080706,0.895879735,0,0.833333333
3,6,1,8,2,6,1,6,2,8,2,7,1,0,1,0,0.5,Female,33,Ghana,16,14,4,66,0.19109992,1.106486467,0.166666667,0.854166667
3,6,2,6,2,6,1,6,3,6,2,6,2,3,1,3,2.25,Male,35,Nigeria,8,31,13,48,0.542096271,1.791759469,0.166666667,0.972222222
1,9,1,9,2,9,1,9,2,9,2,9,5,5,5,5,5,Male,33,Nigeria,22,8,2,68,0.503905266,2.197224577,0,0.888888889
2,8,2,7,2,6,1,7,2,8,2,6,4,0,-3,3,1,Female,22,China,4,25,10,62,0.457889996,2.089751185,0.416666667,0.90625
1,9,2,9,2,6,2,8,2,6,1,8,5,5,5,5,5,Male,25,United Kingdom,9,3,68,20,0.417242764,1.994492023,0.25,0.901234568
1,7,1,9,2,8,1,7,2,7,2,8,3,1,5,3,3,Female,28,United States,24,9,3,65,0.392019912,1.945910149,0.166666667,0.888888889
3,8,3,8,3,8,3,8,2,9,2,9,2,2,1,5,2.5,Female,35,Nigeria,19,11,11,58,0.247938171,1.098612289,0,0.888888889
3,9,3,7,3,9,1,8,3,8,2,9,3,3,3,3,3,Male,39,Nigeria,21,35,7,36,0.234545839,1.098612289,0,0.888888889
1,6,1,8,2,8,3,6,2,8,2,8,2,2,2,0,1.5,Male,60,United Kingdom,22,5,5,67,0.192767236,1.039720771,0,0.875
2,7,1,8,2,6,1,8,1,7,2,6,4,3,3,3,3.25,Male,26,Switzerland,10,65,3,22,0.357841905,1.868834809,0.083333333,0.875
1,6,1,7,3,8,1,5,2,7,2,7,5,2,2,5,3.5,Male,24,Zambia,42,10,4,44,0.11687804,0.804718956,0,0.8
3,6,2,6,2,7,1,7,2,7,2,7,4,4,4,4,4,Female,34,Nigeria,6,16,9,68,0.598194976,1.868834809,0.166666667,0.976190476
3,4,3,4,2,7,3,3,2,7,2,7,1,1,1,1,1,Female,23,China,10,10,10,70,0,0,0,0
